,line,title,image_url,scraped_at,image_name,next_bid_auction,price_buy_now,ends_on,time_remaining,seconds_remaining,sale_type
0,starwars,Lego Star Wars Sammlung,https://img.ricardostatic.ch/t_1800x1350/pl/1150667090/3/1/,2020-12-28 09:38:34,0_legosets.jpg,,330.0,2020-12-29 10:25:00,1 days 00:46:26,2786,buy_now
1,starwars,Lego Star Wars Republic Gunship,https://img.ricardostatic.ch/t_1800x1350/pl/1151457938/2/1/,2020-12-28 09:38:38,1_legosets.jpg,100.0,,2020-12-30 20:19:00,2 days 10:40:22,38422,auction
2,starwars,Kylo Ren‘s TIE Fighter,https://img.ricardostatic.ch/t_1800x1350/pl/1151304770/0/1/,2020-12-28 09:38:42,2_legosets.jpg,48.0,,2020-12-29 19:56:00,1 days 10:17:18,37038,auction
3,starwars,lego star wars,https://img.ricardostatic.ch/t_1800x1350/pl/1151391298/1/1/,2020-12-28 09:38:45,3_legosets.jpg,12.0,,2020-12-30 12:04:00,2 days 02:25:15,8715,auction
4,starwars,LEGO Star Wars & Harry Potter,https://img.ricardostatic.ch/t_1800x1350/pl/1151695012/0/1/,2020-12-28 09:38:49,4_legosets.jpg,52.0,,2021-01-03 18:06:00,6 days 08:27:11,30431,auction
5,starwars,Set 4475 und Set 4476 Lego Star Wars,https://img.ricardostatic.ch/t_1800x1350/pl/1151071220/1/1/,2020-12-28 09:38:53,5_legosets.jpg,61.0,,2020-12-28 20:15:00,0 days 10:36:07,38167,auction
6,starwars,Set 7180 B-Wing  Control Center,https://img.ricardostatic.ch/t_1800x1350/pl/1151070390/0/1/,2020-12-28 09:38:57,6_legosets.jpg,57.0,,2020-12-28 20:00:00,0 days 10:21:03,37263,auction
7,starwars,Lego Star Wars,https://img.ricardostatic.ch/t_1800x1350/pl/1151200988/0/1/,2020-12-28 09:39:01,7_legosets.jpg,101.0,280.0,2020-12-29 09:38:00,0 days 23:58:59,86339,both
8,starwars,LEGO Star Wars Bounty Gunship 7930,https://img.ricardostatic.ch/t_1800x1350/pl/1151105790/1/1/,2020-12-28 09:39:04,8_legosets.jpg,36.0,59.0,2020-12-29 19:29:00,1 days 09:49:56,35396,both
9,starwars,LEGO Star Wars 7961 - Sith Infiltrator,https://img.ricardostatic.ch/t_1800x1350/pl/1150879404/1/1/,2020-12-28 09:39:08,9_legosets.jpg,31.0,50.0,2020-12-28 19:29:00,0 days 09:49:52,35392,both
10,starwars,Star Wars Minifigur Clone Commander Cody,https://img.ricardostatic.ch/t_1800x1350/pl/1151362372/1/1/,2020-12-28 09:39:12,10_legosets.jpg,8.0,13.0,2020-12-29 19:28:00,1 days 09:48:48,35328,both
11,starwars,Star Wars Minifigur Bad Batch Wrecker,https://img.ricardostatic.ch/t_1800x1350/pl/1151358256/1/1/,2020-12-28 09:39:16,11_legosets.jpg,8.0,13.0,2020-12-28 19:28:00,0 days 09:48:44,35324,both
12,starwars,LEGO Star Wars Wolfpack Clone Trooper,https://img.ricardostatic.ch/t_1800x1350/pl/1151412350/1/1/,2020-12-28 09:39:19,12_legosets.jpg,28.0,35.0,2020-12-30 19:29:00,2 days 09:49:41,35381,both
13,starwars,LEGO Star Wars ARC Trooper 9488,https://img.ricardostatic.ch/t_1800x1350/pl/1150829310/1/1/,2020-12-28 09:39:23,13_legosets.jpg,27.0,39.0,2020-12-28 19:29:00,0 days 09:49:37,35377,both
14,starwars,LEGO Star Wars Republic Striker 9497,https://img.ricardostatic.ch/t_1800x1350/pl/1151675436/1/1/,2020-12-28 09:39:27,14_legosets.jpg,45.0,69.0,2021-01-02 19:28:00,5 days 09:48:33,35313,both
15,starwars,LEGO Star Wars Jedi Consular,https://img.ricardostatic.ch/t_1800x1350/pl/1151107610/1/1/,2020-12-28 09:39:31,15_legosets.jpg,35.0,49.0,2020-12-30 19:28:00,2 days 09:48:29,35309,both
16,starwars,LEGO Star Wars Clone Commander Wolffe,https://img.ricardostatic.ch/t_1800x1350/pl/1151412224/1/1/,2020-12-28 09:39:35,16_legosets.jpg,46.0,59.0,2020-12-30 19:29:00,2 days 09:49:25,35365,both
17,starwars,LEGO Star Wars Minifigur Eeth Koth,https://img.ricardostatic.ch/t_1000x750/pl/1151757926/1/1/lego-star-wars-minifigur-eeth-koth.jpg,2020-12-28 09:39:38,17_legosets.jpg,23.0,30.0,2021-01-03 19:30:00,6 days 09:50:22,35422,both
